Round,White,Black,Random Chess Bot,NaptimeNeural,Site
1,Random Chess Bot,NaptimeNeural,0,0,My Computer
1,NaptimeNeural,Random Chess Bot,0,0,My Computer
2,Random Chess Bot,NaptimeNeural,0,0,My Computer
2,NaptimeNeural,Random Chess Bot,0,0,My Computer
3,Random Chess Bot,NaptimeNeural,0,0,My Computer
3,NaptimeNeural,Random Chess Bot,0,0,My Computer
4,Random Chess Bot,NaptimeNeural,0,1,My Computer
4,NaptimeNeural,Random Chess Bot,0,1,My Computer
5,Random Chess Bot,NaptimeNeural,0,0,My Computer
5,NaptimeNeural,Random Chess Bot,0,0,My Computer
6,Random Chess Bot,NaptimeNeural,1,0,My Computer
6,NaptimeNeural,Random Chess Bot,0,0,My Computer
7,Random Chess Bot,NaptimeNeural,0,1,My Computer
7,NaptimeNeural,Random Chess Bot,1,0,My Computer
8,Random Chess Bot,NaptimeNeural,0,0,My Computer
8,NaptimeNeural,Random Chess Bot,0,0,My Computer
9,Random Chess Bot,NaptimeNeural,0,0,My Computer
9,NaptimeNeural,Random Chess Bot,0,0,My Computer
10,Random Chess Bot,NaptimeNeural,0,0,My Computer
10,NaptimeNeural,Random Chess Bot,0,0,My Computer
11,Random Chess Bot,NaptimeNeural,0,0,My Computer
11,NaptimeNeural,Random Chess Bot,0,0,My Computer
12,Random Chess Bot,NaptimeNeural,0,0,My Computer
12,NaptimeNeural,Random Chess Bot,0,0,My Computer
13,Random Chess Bot,NaptimeNeural,0,0,My Computer
13,NaptimeNeural,Random Chess Bot,0,0,My Computer
14,Random Chess Bot,NaptimeNeural,0,1,My Computer
14,NaptimeNeural,Random Chess Bot,0,0,My Computer
15,Random Chess Bot,NaptimeNeural,0,0,My Computer
15,NaptimeNeural,Random Chess Bot,0,0,My Computer
16,Random Chess Bot,NaptimeNeural,0,0,My Computer
16,NaptimeNeural,Random Chess Bot,0,0,My Computer
17,Random Chess Bot,NaptimeNeural,0,0,My Computer
17,NaptimeNeural,Random Chess Bot,0,0,My Computer
18,Random Chess Bot,NaptimeNeural,0,0,My Computer
18,NaptimeNeural,Random Chess Bot,0,0,My Computer
19,Random Chess Bot,NaptimeNeural,0,0,My Computer
19,NaptimeNeural,Random Chess Bot,0,0,My Computer
20,Random Chess Bot,NaptimeNeural,0,0,My Computer
20,NaptimeNeural,Random Chess Bot,0,0,My Computer
