Round,White,Black,Random Chess Bot,NaptimeXGBoost,Site
1,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
1,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
2,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
2,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
3,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
3,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
4,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
4,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
5,Random Chess Bot,NaptimeXGBoost,0,1,My Computer
5,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
6,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
6,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
7,Random Chess Bot,NaptimeXGBoost,0,1,My Computer
7,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
8,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
8,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
9,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
9,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
10,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
10,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
11,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
11,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
12,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
12,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
13,Random Chess Bot,NaptimeXGBoost,0,1,My Computer
13,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
14,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
14,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
15,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
15,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
16,Random Chess Bot,NaptimeXGBoost,1,0,My Computer
16,NaptimeXGBoost,Random Chess Bot,0,1,My Computer
17,Random Chess Bot,NaptimeXGBoost,1,0,My Computer
17,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
18,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
18,NaptimeXGBoost,Random Chess Bot,0,1,My Computer
19,Random Chess Bot,NaptimeXGBoost,1,0,My Computer
19,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
20,Random Chess Bot,NaptimeXGBoost,0,0,My Computer
20,NaptimeXGBoost,Random Chess Bot,0,0,My Computer
